package_name,decoy_num_processes,decoy_num_files,decoy_num_domains,decoy_num_dns,decoy_num_http_requests,decoy_num_payloads,decoy_timeline_length,decoy_num_network_ips,decoy_num_public_ips,decoy_num_private_or_local_ips,decoy_num_countries,decoy_has_processes,decoy_has_files,decoy_has_domains,decoy_has_dns,decoy_has_http_requests,decoy_has_payloads,decoy_has_network,decoy_has_timeline,decoy_has_node_process,decoy_has_execve,decoy_has_openat,decoy_has_access_ld_preload
package_452.tgz,4123,1546,3056,524,0,0,100,50,47,3,5,1,1,1,1,0,0,1,1,1,1,1,1
package_434.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_246.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_217.tgz,1,0,401,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_580.tgz,2,0,0,0,0,2,1843,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
package_493.tgz,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
package_450.tgz,9,9,344,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
package_229.tgz,1,0,110,0,0,2,100,7,4,3,2,1,0,1,0,0,1,1,1,1,1,1,1
package_551.tgz,4,0,121,0,0,0,2609,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_471.tgz,1,1,26,2,0,0,100,2,2,0,2,1,1,1,1,0,0,1,1,1,1,1,1
package_478.tgz,1,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
package_570.tgz,4,0,0,0,0,0,7207,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
package_244.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_238.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_492.tgz,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
package_572.tgz,2,0,0,0,0,2,1809,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
package_251.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_560.tgz,4,0,0,0,2,0,6771,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1
package_268.tgz,1,0,33,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_530.tgz,28,0,1338,0,0,0,100,6,3,3,2,1,0,1,0,0,0,1,1,1,1,1,1
package_581.tgz,2,0,0,0,0,0,387,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
